Time (ms) - Plot 0	Amplitude (um) - Plot 0	
0,0	2,90042	
0,3	2,90042	
0,5	2,90044	
0,8	2,90043	
1,1	2,90042	
1,3	2,90043	
1,6	2,90046	
1,9	2,90047	
2,1	2,90042	
2,4	2,90037	
2,7	2,90045	
2,9	2,90044	
3,2	2,90045	
3,5	2,90047	
3,7	2,90051	
4,0	2,90054	
4,3	2,90049	
4,5	2,90049	
4,8	2,90046	
5,1	2,90047	
5,3	2,90048	
5,6	2,90048	
5,9	2,90050	
6,1	2,90048	
6,4	2,90048	
6,7	2,90053	
6,9	2,90051	
7,2	2,90052	
7,5	2,90052	
7,7	2,90054	
8,0	2,90055	
8,3	2,90056	
8,5	2,90058	
8,8	2,90058	
9,1	2,90053	
9,3	2,90055	
9,6	2,90052	
9,9	2,90051	
10,1	2,90049	
10,4	2,90049	
10,7	2,90051	
10,9	2,90050	
11,2	2,90055	
11,5	2,90050	
11,7	2,90048	
12,0	2,90044	
12,3	2,90050	
12,5	2,90053	
12,8	2,90054	
13,1	2,90052	
13,3	2,90052	
13,6	2,90049	
13,9	2,90049	
14,1	2,90043	
14,4	2,90043	
14,7	2,90045	
14,9	2,90050	
15,2	2,90047	
15,5	2,90047	
15,7	2,90049	
16,0	2,90051	
16,3	2,90051	
16,5	2,90053	
16,8	2,90054	
17,1	2,90052	
17,3	2,90054	
17,6	2,90050	
17,9	2,90048	
18,1	2,90045	
18,4	2,90048	
18,7	2,90053	
18,9	2,90051	
19,2	2,90054	
19,5	2,90055	
19,7	2,90052	
20,0	2,90051	
20,3	2,90050	
20,5	2,90052	
20,8	2,90048	
21,1	2,90048	
21,3	2,90049	
21,6	2,90051	
21,9	2,90047	
22,1	2,90045	
22,4	2,90048	
22,7	2,90051	
22,9	2,90049	
23,2	2,90055	
23,5	2,90053	
23,7	2,90050	
24,0	2,90059	
24,3	2,90057	
24,5	2,90054	
24,8	2,90054	
25,1	2,90055	
25,3	2,90054	
25,6	2,90052	
25,9	2,90054	
26,1	2,90053	
26,4	2,90047	
26,7	2,90047	
26,9	2,90049	
27,2	2,90049	
27,5	2,90048	
27,7	2,90045	
28,0	2,90042	
28,3	2,90045	
28,5	2,90047	
28,8	2,90045	
29,1	2,90051	
29,3	2,90053	
29,6	2,90056	
29,9	2,90052	
30,1	2,90048	
30,4	2,90048	
30,7	2,90056	
30,9	2,90052	
31,2	2,90053	
31,5	2,90053	
31,7	2,90047	
32,0	2,90045	
32,3	2,90044	
32,5	2,90052	
32,8	2,90056	
33,1	2,90052	
33,3	2,90052	
33,6	2,90055	
33,9	2,90049	
34,1	2,90052	
34,4	2,90046	
34,7	2,90047	
34,9	2,90049	
35,2	2,90053	
35,5	2,90050	
35,7	2,90053	
36,0	2,90056	
36,3	2,90054	
36,5	2,90051	
36,8	2,90052	
37,1	2,90053	
37,3	2,90051	
37,6	2,90046	
37,9	2,90046	
38,1	2,90050	
38,4	2,90050	
38,7	2,90050	
38,9	2,90053	
39,2	2,90048	
39,5	2,90047	
39,7	2,90053	
40,0	2,90050	
40,3	2,90048	
40,5	2,90051	
40,8	2,90052	
41,1	2,90051	
41,3	2,90050	
41,6	2,90048	
41,9	2,90050	
42,1	2,90052	
42,4	2,90052	
42,7	2,90053	
42,9	2,90056	
43,2	2,90057	
43,5	2,90058	
43,7	2,90061	
44,0	2,90057	
44,3	2,90052	
44,5	2,90052	
44,8	2,90050	
45,1	2,90050	
45,3	2,90051	
45,6	2,90051	
45,9	2,90048	
46,1	2,90043	
46,4	2,90046	
46,7	2,90048	
46,9	2,90046	
47,2	2,90047	
47,5	2,90048	
47,7	2,90048	
48,0	2,90043	
48,3	2,90050	
48,5	2,90052	
48,8	2,90050	
49,1	2,90048	
49,3	2,90048	
49,6	2,90049	
49,9	2,90051	
50,1	2,90049	
50,4	2,90052	
50,7	2,90053	
50,9	2,90048	
51,2	2,90049	
51,5	2,90046	
51,7	2,90046	
52,0	2,90050	
52,3	2,90050	
52,5	2,90052	
52,8	2,90048	
53,1	2,90051	
53,3	2,90049	
53,6	2,90051	
53,9	2,90048	
54,1	2,90053	
54,4	2,90047	
54,7	2,90047	
54,9	2,90046	
55,2	2,90042	
55,5	2,90044	
55,7	2,90047	
56,0	2,90044	
56,3	2,90043	
56,5	2,90040	
56,8	2,90043	
57,1	2,90045	
57,3	2,90046	
57,6	2,90055	
57,9	2,90051	
58,1	2,90049	
58,4	2,90053	
58,7	2,90056	
58,9	2,90056	
59,2	2,90052	
59,5	2,90053	
59,7	2,90055	
60,0	2,90054	
60,3	2,90051	
60,5	2,90053	
60,8	2,90050	
61,1	2,90050	
61,3	2,90051	
61,6	2,90048	
61,9	2,90049	
62,1	2,90049	
62,4	2,90049	
62,7	2,90048	
62,9	2,90053	
63,2	2,90054	
63,5	2,90054	
63,7	2,90051	
64,0	2,90053	
64,3	2,90051	
64,5	2,90047	
64,8	2,90050	
65,1	2,90047	
65,3	2,90044	
65,6	2,90049	
65,9	2,90052	
66,1	2,90047	
66,4	2,90050	
66,7	2,90048	
66,9	2,90051	
67,2	2,90051	
67,5	2,90049	
67,7	2,90049	
68,0	2,90050	
68,3	2,90049	
68,5	2,90052	
68,8	2,90048	
69,1	2,90049	
69,3	2,90046	
69,6	2,90041	
69,9	2,90041	
70,1	2,90043	
70,4	2,90045	
70,7	2,90053	
70,9	2,90054	
71,2	2,90055	
71,5	2,90052	
71,7	2,90051	
72,0	2,90050	
72,3	2,90052	
72,5	2,90051	
72,8	2,90053	
73,1	2,90053	
73,3	2,90054	
73,6	2,90052	
73,9	2,90054	
74,1	2,90055	
74,4	2,90049	
74,7	2,90050	
74,9	2,90050	
75,2	2,90053	
75,5	2,90051	
75,7	2,90053	
76,0	2,90054	
76,3	2,90052	
76,5	2,90048	
76,8	2,90050	
77,1	2,90052	
77,3	2,90048	
77,6	2,90050	
77,9	2,90051	
78,1	2,90047	
78,4	2,90051	
78,7	2,90049	
78,9	2,90055	
79,2	2,90055	
79,5	2,90055	
79,7	2,90051	
80,0	2,90048	
80,3	2,90051	
80,5	2,90050	
80,8	2,90048	
81,1	2,90047	
81,3	2,90051	
81,6	2,90051	
81,9	2,90052	
82,1	2,90048	
82,4	2,90052	
82,7	2,90050	
82,9	2,90053	
83,2	2,90052	
83,5	2,90050	
83,7	2,90053	
84,0	2,90050	
84,3	2,90051	
84,5	2,90052	
84,8	2,90053	
85,1	2,90052	
85,3	2,90055	
85,6	2,90053	
85,9	2,90054	
86,1	2,90057	
86,4	2,90058	
86,7	2,90060	
86,9	2,90058	
87,2	2,90052	
87,5	2,90052	
87,7	2,90047	
88,0	2,90045	
88,3	2,90046	
88,5	2,90047	
88,8	2,90051	
89,1	2,90051	
89,3	2,90048	
89,6	2,90048	
89,9	2,90042	
90,1	2,90042	
90,4	2,90049	
90,7	2,90053	
90,9	2,90051	
91,2	2,90051	
91,5	2,90053	
91,7	2,90052	
92,0	2,90054	
92,3	2,90051	
92,5	2,90049	
92,8	2,90047	
93,1	2,90049	
93,3	2,90048	
93,6	2,90048	
93,9	2,90047	
94,1	2,90046	
94,4	2,90043	
94,7	2,90045	
94,9	2,90043	
95,2	2,90046	
95,5	2,90047	
95,7	2,90049	
96,0	2,90049	
96,3	2,90052	
96,5	2,90050	
96,8	2,90050	
97,1	2,90055	
97,3	2,90053	
97,6	2,90049	
97,9	2,90053	
98,1	2,90053	
98,4	2,90052	
