Time (ms) - Plot 0	Amplitude (um) - Plot 0	
0,0	2,88558	
0,3	2,88557	
0,5	2,88716	
0,8	2,89052	
1,1	2,89404	
1,3	2,89728	
1,6	2,90012	
1,9	2,90248	
2,1	2,90453	
2,4	2,90633	
2,7	2,90780	
2,9	2,90906	
3,2	2,91014	
3,5	2,91099	
3,7	2,91177	
4,0	2,91239	
4,3	2,91293	
4,5	2,91337	
4,8	2,91375	
5,1	2,91404	
5,3	2,91430	
5,6	2,91457	
5,9	2,91477	
6,1	2,91486	
6,4	2,91500	
6,7	2,91511	
6,9	2,91518	
7,2	2,91524	
7,5	2,91532	
7,7	2,91534	
8,0	2,91536	
8,3	2,91543	
8,5	2,91545	
8,8	2,91548	
9,1	2,91547	
9,3	2,91549	
9,6	2,91549	
9,9	2,91547	
10,1	2,91544	
10,4	2,91549	
10,7	2,91556	
10,9	2,91556	
11,2	2,91555	
11,5	2,91557	
11,7	2,91561	
12,0	2,91556	
12,3	2,91555	
12,5	2,91555	
12,8	2,91551	
13,1	2,91553	
13,3	2,91551	
13,6	2,91551	
13,9	2,91551	
14,1	2,91554	
14,4	2,91553	
14,7	2,91555	
14,9	2,91554	
15,2	2,91555	
15,5	2,91554	
15,7	2,91558	
16,0	2,91554	
16,3	2,91560	
16,5	2,91560	
16,8	2,91557	
17,1	2,91556	
17,3	2,91554	
17,6	2,91555	
17,9	2,91551	
18,1	2,91555	
18,4	2,91553	
18,7	2,91555	
18,9	2,91549	
19,2	2,91553	
19,5	2,91552	
19,7	2,91549	
20,0	2,91547	
20,3	2,91547	
20,5	2,91549	
20,8	2,91552	
21,1	2,91554	
21,3	2,91549	
21,6	2,91550	
21,9	2,91548	
22,1	2,91551	
22,4	2,91555	
22,7	2,91561	
22,9	2,91561	
23,2	2,91562	
23,5	2,91560	
23,7	2,91559	
24,0	2,91554	
24,3	2,91554	
24,5	2,91553	
24,8	2,91550	
25,1	2,91556	
25,3	2,91553	
25,6	2,91556	
25,9	2,91556	
26,1	2,91553	
26,4	2,91551	
26,7	2,91551	
26,9	2,91552	
27,2	2,91555	
27,5	2,91554	
27,7	2,91556	
28,0	2,91555	
28,3	2,91554	
28,5	2,91553	
28,8	2,91549	
29,1	2,91550	
29,3	2,91553	
29,6	2,91553	
29,9	2,91554	
30,1	2,91555	
30,4	2,91554	
30,7	2,91553	
30,9	2,91555	
31,2	2,91558	
31,5	2,91556	
31,7	2,91554	
32,0	2,91554	
32,3	2,91555	
32,5	2,91556	
32,8	2,91554	
33,1	2,91554	
33,3	2,91553	
33,6	2,91556	
33,9	2,91558	
34,1	2,91558	
34,4	2,91550	
34,7	2,91550	
34,9	2,91548	
35,2	2,91547	
35,5	2,91549	
35,7	2,91551	
36,0	2,91552	
36,3	2,91551	
36,5	2,91555	
36,8	2,91552	
37,1	2,91555	
37,3	2,91556	
37,6	2,91555	
37,9	2,91552	
38,1	2,91554	
38,4	2,91549	
38,7	2,91552	
38,9	2,91555	
39,2	2,91548	
39,5	2,91557	
39,7	2,91558	
40,0	2,91556	
40,3	2,91559	
40,5	2,91554	
40,8	2,91553	
41,1	2,91555	
41,3	2,91555	
41,6	2,91550	
41,9	2,91549	
42,1	2,91551	
42,4	2,91554	
42,7	2,91555	
42,9	2,91554	
43,2	2,91555	
43,5	2,91558	
43,7	2,91557	
44,0	2,91561	
44,3	2,91556	
44,5	2,91557	
44,8	2,91554	
45,1	2,91556	
45,3	2,91553	
45,6	2,91557	
45,9	2,91551	
46,1	2,91553	
46,4	2,91549	
46,7	2,91547	
46,9	2,91548	
47,2	2,91547	
47,5	2,91550	
47,7	2,91547	
48,0	2,91549	
48,3	2,91550	
48,5	2,91548	
48,8	2,91550	
49,1	2,91550	
49,3	2,91549	
49,6	2,91548	
49,9	2,91547	
50,1	2,91545	
50,4	2,91548	
50,7	2,91547	
50,9	2,91548	
51,2	2,91551	
51,5	2,91556	
51,7	2,91554	
52,0	2,91552	
52,3	2,91554	
52,5	2,91557	
52,8	2,91556	
53,1	2,91553	
53,3	2,91553	
53,6	2,91551	
53,9	2,91549	
54,1	2,91548	
54,4	2,91547	
54,7	2,91548	
54,9	2,91552	
55,2	2,91546	
55,5	2,91549	
55,7	2,91553	
56,0	2,91551	
56,3	2,91550	
56,5	2,91556	
56,8	2,91553	
57,1	2,91551	
57,3	2,91551	
57,6	2,91551	
57,9	2,91548	
58,1	2,91550	
58,4	2,91550	
58,7	2,91550	
58,9	2,91548	
59,2	2,91549	
59,5	2,91548	
59,7	2,91548	
60,0	2,91551	
60,3	2,91554	
60,5	2,91554	
60,8	2,91552	
61,1	2,91552	
61,3	2,91555	
61,6	2,91553	
61,9	2,91555	
62,1	2,91553	
62,4	2,91551	
62,7	2,91552	
62,9	2,91551	
63,2	2,91553	
63,5	2,91549	
63,7	2,91546	
64,0	2,91552	
64,3	2,91554	
64,5	2,91550	
64,8	2,91552	
65,1	2,91548	
65,3	2,91551	
65,6	2,91554	
65,9	2,91550	
66,1	2,91546	
66,4	2,91549	
66,7	2,91549	
66,9	2,91552	
67,2	2,91551	
67,5	2,91553	
67,7	2,91548	
68,0	2,91551	
68,3	2,91554	
68,5	2,91553	
68,8	2,91556	
69,1	2,91551	
69,3	2,91556	
69,6	2,91557	
69,9	2,91549	
70,1	2,91553	
70,4	2,91551	
70,7	2,91549	
70,9	2,91547	
71,2	2,91545	
71,5	2,91544	
71,7	2,91548	
72,0	2,91547	
72,3	2,91549	
72,5	2,91551	
72,8	2,91550	
73,1	2,91552	
73,3	2,91555	
73,6	2,91555	
73,9	2,91553	
74,1	2,91552	
74,4	2,91551	
74,7	2,91552	
74,9	2,91552	
75,2	2,91549	
75,5	2,91550	
75,7	2,91551	
76,0	2,91553	
76,3	2,91555	
76,5	2,91558	
76,8	2,91558	
77,1	2,91554	
77,3	2,91553	
77,6	2,91553	
77,9	2,91550	
78,1	2,91548	
78,4	2,91550	
78,7	2,91550	
78,9	2,91551	
79,2	2,91547	
79,5	2,91549	
79,7	2,91548	
80,0	2,91549	
80,3	2,91551	
80,5	2,91553	
80,8	2,91552	
81,1	2,91552	
81,3	2,91551	
81,6	2,91557	
81,9	2,91560	
82,1	2,91560	
82,4	2,91555	
82,7	2,91549	
82,9	2,91549	
83,2	2,91548	
83,5	2,91551	
83,7	2,91551	
84,0	2,91548	
84,3	2,91554	
84,5	2,91554	
84,8	2,91552	
85,1	2,91554	
85,3	2,91552	
85,6	2,91552	
85,9	2,91550	
86,1	2,91555	
86,4	2,91555	
86,7	2,91557	
86,9	2,91549	
87,2	2,91550	
87,5	2,91550	
87,7	2,91551	
88,0	2,91550	
88,3	2,91559	
88,5	2,91556	
88,8	2,91554	
89,1	2,91548	
89,3	2,91545	
89,6	2,91548	
89,9	2,91546	
90,1	2,91550	
90,4	2,91549	
90,7	2,91551	
90,9	2,91550	
91,2	2,91551	
91,5	2,91552	
91,7	2,91551	
92,0	2,91549	
92,3	2,91555	
92,5	2,91555	
92,8	2,91558	
93,1	2,91555	
93,3	2,91553	
93,6	2,91555	
93,9	2,91552	
94,1	2,91550	
94,4	2,91551	
94,7	2,91551	
94,9	2,91551	
95,2	2,91548	
95,5	2,91543	
95,7	2,91549	
96,0	2,91547	
96,3	2,91552	
96,5	2,91552	
96,8	2,91552	
97,1	2,91549	
97,3	2,91553	
97,6	2,91551	
97,9	2,91551	
98,1	2,91549	
98,4	2,91549	
98,7	2,91547	
98,9	2,91549	
99,2	2,91552	
99,5	2,91550	
99,7	2,91549	
100,0	2,91550	
100,3	2,91558	
100,5	2,91553	
100,8	2,91557	
101,1	2,91551	
101,3	2,91550	
101,6	2,91548	
101,9	2,91550	
102,1	2,91551	
102,4	2,91555	
102,7	2,91556	
102,9	2,91553	
103,2	2,91550	
103,5	2,91552	
103,7	2,91555	
104,0	2,91553	
104,3	2,91550	
104,5	2,91548	
104,8	2,91551	
105,1	2,91547	
105,3	2,91543	
105,6	2,91548	
105,9	2,91550	
106,1	2,91550	
106,4	2,91549	
106,7	2,91548	
106,9	2,91553	
107,2	2,91546	
107,5	2,91549	
107,7	2,91552	
108,0	2,91551	
108,3	2,91550	
108,5	2,91552	
108,8	2,91551	
109,1	2,91551	
109,3	2,91553	
109,6	2,91552	
109,9	2,91549	
110,1	2,91550	
110,4	2,91554	
110,7	2,91554	
110,9	2,91551	
111,2	2,91552	
111,5	2,91550	
111,7	2,91549	
112,0	2,91554	
112,3	2,91553	
112,5	2,91554	
112,8	2,91552	
113,1	2,91551	
113,3	2,91552	
113,6	2,91554	
113,9	2,91551	
114,1	2,91549	
114,4	2,91552	
114,7	2,91553	
114,9	2,91554	
115,2	2,91557	
115,5	2,91554	
115,7	2,91555	
116,0	2,91554	
116,3	2,91555	
116,5	2,91560	
116,8	2,91553	
117,1	2,91551	
117,3	2,91551	
117,6	2,91552	
117,9	2,91553	
118,1	2,91550	
118,4	2,91546	
118,7	2,91546	
118,9	2,91544	
119,2	2,91546	
119,5	2,91547	
119,7	2,91550	
120,0	2,91552	
120,3	2,91553	
120,5	2,91559	
120,8	2,91554	
121,1	2,91553	
121,3	2,91551	
121,6	2,91548	
121,9	2,91545	
122,1	2,91547	
122,4	2,91549	
122,7	2,91551	
122,9	2,91552	
123,2	2,91544	
123,5	2,91549	
123,7	2,91546	
124,0	2,91549	
124,3	2,91549	
124,5	2,91553	
124,8	2,91551	
125,1	2,91556	
125,3	2,91553	
125,6	2,91553	
125,9	2,91554	
126,1	2,91553	
126,4	2,91550	
126,7	2,91551	
126,9	2,91550	
127,2	2,91549	
127,5	2,91547	
127,7	2,91545	
128,0	2,91550	
128,3	2,91552	
128,5	2,91556	
128,8	2,91556	
129,1	2,91557	
129,3	2,91557	
129,6	2,91554	
129,9	2,91554	
130,1	2,91545	
130,4	2,91550	
130,7	2,91551	
130,9	2,91546	
131,2	2,91550	
131,5	2,91544	
131,7	2,91546	
132,0	2,91551	
132,3	2,91551	
132,5	2,91554	
132,8	2,91555	
133,1	2,91554	
133,3	2,91552	
133,6	2,91551	
133,9	2,91549	
134,1	2,91554	
134,4	2,91555	
134,7	2,91552	
134,9	2,91549	
135,2	2,91548	
135,5	2,91549	
135,7	2,91549	
136,0	2,91550	
136,3	2,91550	
136,5	2,91552	
136,8	2,91551	
137,1	2,91550	
137,3	2,91550	
137,6	2,91547	
137,9	2,91545	
138,1	2,91547	
138,4	2,91548	
138,7	2,91551	
138,9	2,91551	
139,2	2,91552	
139,5	2,91551	
139,7	2,91553	
140,0	2,91552	
140,3	2,91547	
140,5	2,91551	
140,8	2,91557	
141,1	2,91560	
141,3	2,91554	
141,6	2,91559	
141,9	2,91558	
142,1	2,91558	
142,4	2,91551	
142,7	2,91551	
142,9	2,91552	
143,2	2,91550	
143,5	2,91552	
143,7	2,91555	
144,0	2,91556	
144,3	2,91554	
144,5	2,91549	
144,8	2,91552	
145,1	2,91556	
145,3	2,91555	
145,6	2,91550	
145,9	2,91549	
146,1	2,91547	
146,4	2,91544	
146,7	2,91547	
146,9	2,91551	
147,2	2,91550	
147,5	2,91547	
147,7	2,91547	
148,0	2,91544	
148,3	2,91547	
148,5	2,91548	
148,8	2,91551	
149,1	2,91553	
149,3	2,91555	
149,6	2,91554	
149,9	2,91555	
150,1	2,91555	
150,4	2,91556	
150,7	2,91552	
150,9	2,91552	
151,2	2,91548	
151,5	2,91548	
151,7	2,91547	
152,0	2,91548	
152,3	2,91549	
152,5	2,91554	
152,8	2,91551	
153,1	2,91554	
153,3	2,91553	
153,6	2,91552	
153,9	2,91553	
154,1	2,91551	
154,4	2,91550	
154,7	2,91548	
154,9	2,91548	
155,2	2,91548	
155,5	2,91546	
155,7	2,91548	
156,0	2,91547	
156,3	2,91548	
156,5	2,91547	
156,8	2,91546	
157,1	2,91549	
157,3	2,91550	
157,6	2,91546	
157,9	2,91550	
158,1	2,91552	
158,4	2,91549	
158,7	2,91554	
158,9	2,91554	
159,2	2,91554	
159,5	2,91552	
159,7	2,91548	
160,0	2,91549	
160,3	2,91546	
160,5	2,91551	
160,8	2,91553	
161,1	2,91554	
161,3	2,91553	
161,6	2,91553	
161,9	2,91554	
162,1	2,91556	
162,4	2,91554	
162,7	2,91554	
162,9	2,91549	
163,2	2,91548	
163,5	2,91551	
163,7	2,91552	
164,0	2,91553	
164,3	2,91552	
164,5	2,91545	
164,8	2,91548	
165,1	2,91553	
165,3	2,91553	
165,6	2,91554	
165,9	2,91555	
166,1	2,91550	
166,4	2,91554	
166,7	2,91548	
166,9	2,91548	
167,2	2,91551	
167,5	2,91554	
167,7	2,91552	
168,0	2,91548	
168,3	2,91549	
168,5	2,91551	
168,8	2,91552	
169,1	2,91549	
169,3	2,91549	
169,6	2,91553	
169,9	2,91550	
170,1	2,91552	
170,4	2,91549	
170,7	2,91546	
170,9	2,91547	
171,2	2,91549	
171,5	2,91556	
171,7	2,91548	
172,0	2,91548	
172,3	2,91549	
172,5	2,91547	
172,8	2,91551	
173,1	2,91553	
173,3	2,91555	
173,6	2,91555	
173,9	2,91552	
174,1	2,91549	
174,4	2,91547	
174,7	2,91553	
174,9	2,91554	
175,2	2,91556	
175,5	2,91551	
175,7	2,91544	
176,0	2,91550	
176,3	2,91553	
176,5	2,91551	
176,8	2,91550	
177,1	2,91551	
177,3	2,91552	
177,6	2,91552	
177,9	2,91552	
178,1	2,91552	
178,4	2,91548	
178,7	2,91546	
178,9	2,91546	
179,2	2,91545	
179,5	2,91546	
179,7	2,91549	
180,0	2,91552	
180,3	2,91552	
180,5	2,91551	
180,8	2,91555	
181,1	2,91551	
181,3	2,91552	
181,6	2,91553	
181,9	2,91557	
182,1	2,91554	
182,4	2,91555	
182,7	2,91554	
182,9	2,91555	
183,2	2,91557	
183,5	2,91553	
183,7	2,91553	
184,0	2,91555	
184,3	2,91557	
184,5	2,91556	
184,8	2,91556	
185,1	2,91555	
185,3	2,91549	
185,6	2,91552	
185,9	2,91546	
186,1	2,91547	
186,4	2,91541	
186,7	2,91542	
186,9	2,91544	
187,2	2,91540	
187,5	2,91546	
187,7	2,91547	
188,0	2,91545	
188,3	2,91546	
188,5	2,91548	
188,8	2,91553	
189,1	2,91554	
189,3	2,91549	
189,6	2,91552	
189,9	2,91549	
190,1	2,91548	
190,4	2,91552	
190,7	2,91551	
190,9	2,91554	
191,2	2,91557	
191,5	2,91557	
191,7	2,91558	
192,0	2,91560	
192,3	2,91554	
192,5	2,91552	
192,8	2,91552	
193,1	2,91551	
193,3	2,91554	
193,6	2,91555	
193,9	2,91552	
194,1	2,91551	
194,4	2,91558	
194,7	2,91558	
194,9	2,91559	
195,2	2,91552	
195,5	2,91551	
